"소재지(시군구)별(1)",소재지(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"소재지(시군구)별(1)",소재지(시군구)별(2),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%)
"소재지(시군구)별(1)",소재지(시군구)별(2),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100)
"서울특별시",마포구,371890,371890,0,371890,0,100.00,100.00,368905,368905,0,368905,0,100.00,100.00,364638,364638,0,364638,0,100.00,100.00,363697,363697,0,363697,0,100.00,100.00,361417,361417,0,361417,0,100.00,100.00
"서울특별시",양천구,454251,454251,0,454251,0,100.00,100.00,447302,447302,0,447302,0,100.00,100.00,440881,440881,0,440881,0,100.00,100.00,436028,436028,0,436028,0,100.00,100.00,430976,430976,0,430976,0,100.00,100.00
"서울특별시",강서구,580185,580185,0,580185,0,100.00,100.00,574315,574315,0,574315,0,100.00,100.00,569166,569166,0,569166,0,100.00,100.00,563058,563058,0,563058,0,100.00,100.00,556171,556171,0,556171,0,100.00,100.00
"서울특별시",구로구,404408,404408,0,404408,0,100.00,100.00,396754,396754,0,396754,0,100.00,100.00,395315,395315,0,395315,0,100.00,100.00,392405,392405,0,392405,0,100.00,100.00,388169,388169,0,388169,0,100.00,100.00
"서울특별시",금천구,231733,231733,0,231733,0,100.00,100.00,230811,230811,0,230811,0,100.00,100.00,229642,229642,0,229642,0,100.00,100.00,227481,227481,0,227481,0,100.00,100.00,225159,225159,0,225159,0,100.00,100.00
"서울특별시",영등포구,379480,379480,0,379480,0,100.00,100.00,376837,376837,0,376837,0,100.00,100.00,375675,375675,0,375675,0,100.00,100.00,374794,374794,0,374794,0,100.00,100.00,373773,373773,0,373773,0,100.00,100.00
"서울특별시",동작구,391220,391220,0,391220,0,100.00,100.00,385483,385483,0,385483,0,100.00,100.00,380596,380596,0,380596,0,100.00,100.00,378769,378769,0,378769,0,100.00,100.00,375799,375799,0,375799,0,100.00,100.00
"서울특별시",관악구,495060,495060,0,495060,0,100.00,100.00,485699,485699,0,485699,0,100.00,100.00,486752,486752,0,486752,0,100.00,100.00,481956,481956,0,481956,0,100.00,100.00,477812,477812,0,477812,0,100.00,100.00
"서울특별시",서초구,425126,425126,0,425126,0,100.00,100.00,412279,412279,0,412279,0,100.00,100.00,404325,404325,0,404325,0,100.00,100.00,407664,407664,0,407664,0,100.00,100.00,408376,408376,0,408376,0,100.00,100.00
"서울특별시",강남구,539231,539231,0,539231,0,100.00,100.00,533042,533042,0,533042,0,100.00,100.00,529102,529102,0,529102,0,100.00,100.00,544873,544873,0,544873,0,100.00,100.00,557345,557345,0,557345,0,100.00,100.00
"서울특별시",송파구,667960,667960,0,667960,0,100.00,100.00,658338,658338,0,658338,0,100.00,100.00,658801,658801,0,658801,0,100.00,100.00,654166,654166,0,654166,0,100.00,100.00,650110,650110,0,650110,0,100.00,100.00
"서울특별시",강동구,459970,459970,0,459970,0,100.00,100.00,462664,462664,0,462664,0,100.00,100.00,460067,460067,0,460067,0,100.00,100.00,459167,459167,0,459167,0,100.00,100.00,476942,476942,0,476942,0,100.00,100.00
"부산광역시",소계,3391946,3391946,-,3361317,30629,100.00,99.10,3350380,3350380,-,3316641,33739,100.00,98.99,3317812,3317812,-,3310077,7735,100.00,99.77,3293362,3293362,-,3285679,7683,100.00,99.77,3266598,3266598,0,3259192,7406,100.00,99.77
"부산광역시",중구,41523,41523,0,41523,0,100.00,100.00,40524,40524,0,40524,0,100.00,100.00,39689,39689,0,39689,0,100.00,100.00,38619,38619,0,38619,0,100.00,100.00,37537,37537,0,37537,0,100.00,100.00
"부산광역시",서구,108135,108135,0,108135,0,100.00,100.00,105164,105164,0,105164,0,100.00,100.00,105192,105192,0,105192,0,100.00,100.00,104089,104089,0,104089,0,100.00,100.00,103188,103188,0,103188,0,100.00,100.00
"부산광역시",동구,88901,88901,0,88901,0,100.00,100.00,87679,87679,0,87679,0,100.00,100.00,86462,86462,0,86462,0,100.00,100.00,87792,87792,0,87792,0,100.00,100.00,85911,85911,0,85911,0,100.00,100.00
"부산광역시",영도구,113342,113342,0,113342,0,100.00,100.00,110638,110638,0,110638,0,100.00,100.00,108156,108156,0,108156,0,100.00,100.00,106548,106548,0,106548,0,100.00,100.00,103737,103737,0,103737,0,100.00,100.00
"부산광역시",부산진구,359886,359886,0,359886,0,100.00,100.00,353159,353159,0,353159,0,100.00,100.00,355917,355917,0,355917,0,100.00,100.00,359508,359508,0,359508,0,100.00,100.00,359281,359281,0,359281,0,100.00,100.00
"부산광역시",동래구,270745,270745,0,270745,0,100.00,100.00,266866,266866,0,266866,0,100.00,100.00,273226,273226,0,273226,0,100.00,100.00,270815,270815,0,270815,0,100.00,100.00,274370,274370,0,274370,0,100.00,100.00
"부산광역시",남구,267731,267731,0,267731,0,100.00,100.00,262069,262069,0,262069,0,100.00,100.00,256333,256333,0,256333,0,100.00,100.00,254185,254185,0,254185,0,100.00,100.00,254498,254498,0,254498,0,100.00,100.00
"부산광역시",북구,283952,283952,0,283952,0,100.00,100.00,283211,283211,0,283211,0,100.00,100.00,278857,278857,0,278857,0,100.00,100.00,273596,273596,0,273596,0,100.00,100.00,267692,267692,0,267692,0,100.00,100.00
"부산광역시",해운대구,402169,402169,0,402169,0,100.00,100.00,396438,396438,0,396438,0,100.00,100.00,386785,386785,0,386785,0,100.00,100.00,380448,380448,0,380448,0,100.00,100.00,376404,376404,0,376404,0,100.00,100.00
"부산광역시",사하구,311757,311757,0,311757,0,100.00,100.00,306003,306003,0,306003,0,100.00,100.00,301987,301987,0,301987,0,100.00,100.00,297831,297831,0,297831,0,100.00,100.00,292491,292491,0,292491,0,100.00,100.00
"부산광역시",금정구,232666,232666,0,232666,0,100.00,100.00,228049,228049,0,228049,0,100.00,100.00,221256,221256,0,221256,0,100.00,100.00,215590,215590,0,215590,0,100.00,100.00,209932,209932,0,209932,0,100.00,100.00
"부산광역시",강서구,137957,137957,0,137957,0,100.00,100.00,142918,142918,0,142918,0,100.00,100.00,143207,143207,0,143207,0,100.00,100.00,142396,142396,0,142396,0,100.00,100.00,142789,142789,0,142789,0,100.00,100.00
"부산광역시",연제구,209157,209157,0,209157,0,100.00,100.00,207144,207144,0,207144,0,100.00,100.00,203536,203536,0,203536,0,100.00,100.00,205766,205766,0,205766,0,100.00,100.00,212589,212589,0,212589,0,100.00,100.00
"부산광역시",수영구,176894,176894,0,176894,0,100.00,100.00,175095,175095,0,175095,0,100.00,100.00,174806,174806,0,174806,0,100.00,100.00,174518,174518,0,174518,0,100.00,100.00,171918,171918,0,171918,0,100.00,100.00
"부산광역시",사상구,212586,212586,0,212586,0,100.00,100.00,208298,208298,0,208298,0,100.00,100.00,203789,203789,0,203789,0,100.00,100.00,202932,202932,0,202932,0,100.00,100.00,198635,198635,0,198635,0,100.00,100.00
"부산광역시",기장군,174545,174545,0,143916,30629,100.00,82.45,177125,177125,0,143386,33739,100.00,80.95,178614,178614,0,170879,7735,100.00,95.67,178729,178729,0,171046,7683,100.00,95.70,175626,175626,0,168220,7406,100.00,95.78
