가해운전자차종,시간대,사고건수,사망자수,부상자수
기타/불명,04:00:00~06:00:00,84,1,87
기타/불명,06:00:00~08:00:00,110,1,137
기타/불명,08:00:00~10:00:00,204,1,215
기타/불명,10:00:00~12:00:00,183,0,207
기타/불명,12:00:00~14:00:00,193,0,220
기타/불명,14:00:00~16:00:00,208,1,226
기타/불명,16:00:00~18:00:00,274,0,296
기타/불명,18:00:00~20:00:00,406,0,449
기타/불명,20:00:00~22:00:00,324,2,368
기타/불명,22:00:00~24:00:00,225,0,234
