±âÁØ³âµµ,ÇàÁ¤±¸¿ªÄÚµå,Åë°èÇ×¸ñ,Åë°è°ª
2023,11020710,ga_sd_004,N/A
2023,11020710,ga_sd_005,2668
2023,11020710,ga_sd_006,182
2023,11020720,ga_sd_001,1067
2023,11020720,ga_sd_002,2163
2023,11020720,ga_sd_003,197
2023,11020720,ga_sd_004,N/A
2023,11020720,ga_sd_005,2129
2023,11020720,ga_sd_006,182
2023,11020730,ga_sd_001,731
2023,11020730,ga_sd_002,1822
2023,11020730,ga_sd_003,210
2023,11020730,ga_sd_005,909
2023,11020730,ga_sd_006,82
2023,11030510,ga_sd_001,1106
2023,11030510,ga_sd_002,2497
2023,11030510,ga_sd_003,206
2023,11030510,ga_sd_004,N/A
2023,11030510,ga_sd_005,3166
2023,11030510,ga_sd_006,307
2023,11030520,ga_sd_001,711
2023,11030520,ga_sd_002,1272
2023,11030520,ga_sd_003,122
2023,11030520,ga_sd_005,2112
2023,11030520,ga_sd_006,213
2023,11030530,ga_sd_001,437
2023,11030530,ga_sd_002,625
2023,11030530,ga_sd_003,42
2023,11030530,ga_sd_005,2748
2023,11030530,ga_sd_006,190
2023,11030570,ga_sd_001,985
2023,11030570,ga_sd_002,2296
2023,11030570,ga_sd_003,184
2023,11030570,ga_sd_004,N/A
2023,11030570,ga_sd_005,2197
2023,11030570,ga_sd_006,182
2023,11030580,ga_sd_001,827
2023,11030580,ga_sd_002,1819
2023,11030580,ga_sd_003,175
2023,11030580,ga_sd_004,N/A
2023,11030580,ga_sd_005,1404
2023,11030580,ga_sd_006,179
2023,11030590,ga_sd_001,906
2023,11030590,ga_sd_002,1960
2023,11030590,ga_sd_003,165
2023,11030590,ga_sd_004,N/A
2023,11030590,ga_sd_005,1820
2023,11030590,ga_sd_006,154
2023,11030630,ga_sd_001,1917
2023,11030630,ga_sd_002,4616
2023,11030630,ga_sd_003,389
2023,11030630,ga_sd_004,N/A
2023,11030630,ga_sd_005,1319
2023,11030630,ga_sd_006,166
2023,11030640,ga_sd_001,717
2023,11030640,ga_sd_002,1324
2023,11030640,ga_sd_003,116
2023,11030640,ga_sd_004,N/A
2023,11030640,ga_sd_005,982
2023,11030640,ga_sd_006,111
2023,11030650,ga_sd_001,523
2023,11030650,ga_sd_002,775
2023,11030650,ga_sd_003,58
2023,11030650,ga_sd_004,N/A
2023,11030650,ga_sd_005,1628
2023,11030650,ga_sd_006,149
2023,11030660,ga_sd_001,703
2023,11030660,ga_sd_002,1150
2023,11030660,ga_sd_003,114
2023,11030660,ga_sd_005,2043
2023,11030660,ga_sd_006,198
2023,11030690,ga_sd_001,939
2023,11030690,ga_sd_002,2116
2023,11030690,ga_sd_003,158
2023,11030690,ga_sd_004,N/A
2023,11030690,ga_sd_005,1300
2023,11030690,ga_sd_006,139
2023,11030700,ga_sd_001,951
2023,11030700,ga_sd_002,1776
2023,11030700,ga_sd_003,135
2023,11030700,ga_sd_005,3080
2023,11030700,ga_sd_006,199
2023,11030710,ga_sd_001,1321
2023,11030710,ga_sd_002,2386
2023,11030710,ga_sd_003,216
2023,11030710,ga_sd_005,5952
2023,11030710,ga_sd_006,443
2023,11030720,ga_sd_001,1361
2023,11030720,ga_sd_002,2373
2023,11030720,ga_sd_003,155
2023,11030720,ga_sd_004,N/A
2023,11030720,ga_sd_005,4298
2023,11030720,ga_sd_006,367
2023,11030730,ga_sd_001,1947
2023,11030730,ga_sd_002,2882
2023,11030730,ga_sd_003,177
2023,11030730,ga_sd_004,N/A
2023,11030730,ga_sd_005,4527
2023,11030730,ga_sd_006,489
2023,11030740,ga_sd_001,1541
2023,11030740,ga_sd_002,2480
2023,11030740,ga_sd_003,237
2023,11030740,ga_sd_004,N/A
2023,11030740,ga_sd_005,3906
2023,11030740,ga_sd_006,449
2023,11040520,ga_sd_001,1222
2023,11040520,ga_sd_002,2777
2023,11040520,ga_sd_003,241
2023,11040520,ga_sd_005,2593
2023,11040520,ga_sd_006,175
2023,11040540,ga_sd_001,1549
2023,11040540,ga_sd_002,3499
2023,11040540,ga_sd_003,333
2023,11040540,ga_sd_004,N/A
2023,11040540,ga_sd_005,4308
2023,11040540,ga_sd_006,244
2023,11040550,ga_sd_001,694
2023,11040550,ga_sd_002,1209
2023,11040550,ga_sd_003,120
2023,11040550,ga_sd_004,N/A
2023,11040550,ga_sd_005,5359
2023,11040550,ga_sd_006,243
2023,11040560,ga_sd_001,983
2023,11040560,ga_sd_002,2312
2023,11040560,ga_sd_003,191
2023,11040560,ga_sd_004,N/A
2023,11040560,ga_sd_005,2293
2023,11040560,ga_sd_006,169
2023,11040570,ga_sd_001,1742
2023,11040570,ga_sd_002,4461
2023,11040570,ga_sd_003,335
2023,11040570,ga_sd_004,N/A
2023,11040570,ga_sd_005,2051
2023,11040570,ga_sd_006,170
2023,11040580,ga_sd_001,1043
2023,11040580,ga_sd_002,2938
2023,11040580,ga_sd_003,215
2023,11040580,ga_sd_005,1158
2023,11040580,ga_sd_006,146
2023,11040590,ga_sd_001,1165
2023,11040590,ga_sd_002,2752
2023,11040590,ga_sd_003,208
2023,11040590,ga_sd_005,1736
2023,11040590,ga_sd_006,149
2023,11040620,ga_sd_001,1155
2023,11040620,ga_sd_002,2554
2023,11040620,ga_sd_003,189
2023,11040620,ga_sd_005,1847
2023,11040620,ga_sd_006,156
2023,11040650,ga_sd_001,1290
2023,11040650,ga_sd_002,2556
2023,11040650,ga_sd_003,157
2023,11040650,ga_sd_005,2693
2023,11040650,ga_sd_006,235
2023,11040660,ga_sd_001,962
2023,11040660,ga_sd_002,1929
2023,11040660,ga_sd_003,176
2023,11040660,ga_sd_004,N/A
2023,11040660,ga_sd_005,2416
2023,11040660,ga_sd_006,147
2023,11040670,ga_sd_001,1180
2023,11040670,ga_sd_002,2289
2023,11040670,ga_sd_003,207
2023,11040670,ga_sd_004,N/A
2023,11040670,ga_sd_005,3154
2023,11040670,ga_sd_006,176
2023,11040680,ga_sd_001,770
2023,11040680,ga_sd_002,1474
2023,11040680,ga_sd_003,160
2023,11040680,ga_sd_005,2081
2023,11040680,ga_sd_006,151
2023,11040690,ga_sd_001,719
2023,11040690,ga_sd_002,1498
2023,11040690,ga_sd_003,129
2023,11040690,ga_sd_005,2478
2023,11040690,ga_sd_006,129
2023,11040700,ga_sd_001,791
2023,11040700,ga_sd_002,1445
2023,11040700,ga_sd_003,119
2023,11040700,ga_sd_004,N/A
2023,11040700,ga_sd_005,4194
2023,11040700,ga_sd_006,212
2023,11040710,ga_sd_001,1847
2023,11040710,ga_sd_002,4576
2023,11040710,ga_sd_003,363
2023,11040710,ga_sd_004,N/A
2023,11040710,ga_sd_005,4362
2023,11040710,ga_sd_006,265
2023,11040720,ga_sd_001,1735
2023,11040720,ga_sd_002,4006
2023,11040720,ga_sd_003,319
2023,11040720,ga_sd_004,N/A
2023,11040720,ga_sd_005,2813
2023,11040720,ga_sd_006,259
2023,11040730,ga_sd_001,2171
2023,11040730,ga_sd_002,4594
2023,11040730,ga_sd_003,317
2023,11040730,ga_sd_004,N/A
2023,11040730,ga_sd_005,2575
2023,11040730,ga_sd_006,302
2023,11050530,ga_sd_001,1335
2023,11050530,ga_sd_002,1496
2023,11050530,ga_sd_003,153
2023,11050530,ga_sd_005,14020
2023,11050530,ga_sd_006,845
2023,11050540,ga_sd_001,1389
2023,11050540,ga_sd_002,2534
2023,11050540,ga_sd_003,235
2023,11050540,ga_sd_005,6605
2023,11050540,ga_sd_006,276
2023,11050550,ga_sd_001,1205
2023,11050550,ga_sd_002,2212
2023,11050550,ga_sd_003,174
2023,11050550,ga_sd_004,N/A
2023,11050550,ga_sd_005,4107
2023,11050550,ga_sd_006,260
2023,11050560,ga_sd_001,1512
2023,11050560,ga_sd_002,3388
2023,11050560,ga_sd_003,270
2023,11050560,ga_sd_004,N/A
2023,11050560,ga_sd_005,4337
2023,11050560,ga_sd_006,220
2023,11050570,ga_sd_001,1244
2023,11050570,ga_sd_002,2529
2023,11050570,ga_sd_003,175
2023,11050570,ga_sd_004,N/A
2023,11050570,ga_sd_005,3541
2023,11050570,ga_sd_006,207
2023,11050580,ga_sd_001,2177
2023,11050580,ga_sd_002,4932
2023,11050580,ga_sd_003,374
2023,11050580,ga_sd_004,N/A
2023,11050580,ga_sd_005,4279
2023,11050580,ga_sd_006,223
2023,11050590,ga_sd_001,818
2023,11050590,ga_sd_002,1423
2023,11050590,ga_sd_003,139
2023,11050590,ga_sd_004,N/A
2023,11050590,ga_sd_005,3595
2023,11050590,ga_sd_006,166
2023,11050600,ga_sd_001,1720
2023,11050600,ga_sd_002,3286
2023,11050600,ga_sd_003,270
2023,11050600,ga_sd_005,6563
2023,11050600,ga_sd_006,409
2023,11050610,ga_sd_001,1788
2023,11050610,ga_sd_002,4725
2023,11050610,ga_sd_003,375
2023,11050610,ga_sd_005,3436
2023,11050610,ga_sd_006,199
2023,11050620,ga_sd_001,2013
2023,11050620,ga_sd_002,5037
2023,11050620,ga_sd_003,360
2023,11050620,ga_sd_005,3572
2023,11050620,ga_sd_006,239
2023,11050630,ga_sd_001,1741
2023,11050630,ga_sd_002,7138
2023,11050630,ga_sd_003,425
2023,11050630,ga_sd_004,N/A
2023,11050630,ga_sd_005,1631
2023,11050630,ga_sd_006,157
2023,11050640,ga_sd_001,1550
2023,11050640,ga_sd_002,3286
2023,11050640,ga_sd_003,296
2023,11050640,ga_sd_004,N/A
2023,11050640,ga_sd_005,5473
2023,11050640,ga_sd_006,366
2023,11050650,ga_sd_001,1768
2023,11050650,ga_sd_002,4147
2023,11050650,ga_sd_003,333
2023,11050650,ga_sd_004,N/A
2023,11050650,ga_sd_005,3460
2023,11050650,ga_sd_006,261
2023,11050660,ga_sd_001,2031
2023,11050660,ga_sd_002,5163
2023,11050660,ga_sd_003,338
2023,11050660,ga_sd_004,N/A
2023,11050660,ga_sd_005,2453
2023,11050660,ga_sd_006,212
2023,11050670,ga_sd_001,1666
2023,11050670,ga_sd_002,2872
2023,11050670,ga_sd_003,266
2023,11050670,ga_sd_005,4887
2023,11050670,ga_sd_006,290
2023,11060710,ga_sd_001,585
2023,11060710,ga_sd_002,1213
2023,11060710,ga_sd_003,119
2023,11060710,ga_sd_004,N/A
2023,11060710,ga_sd_005,4497
2023,11060710,ga_sd_006,193
2023,11060720,ga_sd_001,908
2023,11060720,ga_sd_002,1945
2023,11060720,ga_sd_003,176
2023,11060720,ga_sd_004,N/A
2023,11060720,ga_sd_005,3900
2023,11060720,ga_sd_006,176
2023,11060730,ga_sd_001,1680
2023,11060730,ga_sd_002,3689
2023,11060730,ga_sd_003,349
2023,11060730,ga_sd_005,5828
2023,11060730,ga_sd_006,241
2023,11060800,ga_sd_001,1504
2023,11060800,ga_sd_002,2928
2023,11060800,ga_sd_003,291
2023,11060800,ga_sd_004,N/A
2023,11060800,ga_sd_005,3964
2023,11060800,ga_sd_006,153
2023,11060810,ga_sd_001,2595
2023,11060810,ga_sd_002,5543
2023,11060810,ga_sd_003,399
2023,11060810,ga_sd_004,6
2023,11060810,ga_sd_005,10266
2023,11060810,ga_sd_006,706
2023,11060820,ga_sd_001,1739
2023,11060820,ga_sd_002,3268
2023,11060820,ga_sd_003,290
2023,11060820,ga_sd_004,N/A
2023,11060820,ga_sd_005,5816
2023,11060820,ga_sd_006,386
2023,11060830,ga_sd_001,2187
2023,11060830,ga_sd_002,5398
2023,11060830,ga_sd_003,460
2023,11060830,ga_sd_004,N/A
2023,11060830,ga_sd_005,6667
2023,11060830,ga_sd_006,336
2023,11060840,ga_sd_001,1306
2023,11060840,ga_sd_002,3432
2023,11060840,ga_sd_003,328
2023,11060840,ga_sd_004,N/A
2023,11060840,ga_sd_005,1929
2023,11060840,ga_sd_006,106
2023,11060860,ga_sd_001,2208
2023,11060860,ga_sd_002,4889
2023,11060860,ga_sd_003,433
2023,11060860,ga_sd_005,3836
2023,11060860,ga_sd_006,263
2023,11060870,ga_sd_001,2725
2023,11060870,ga_sd_002,6312
2023,11060870,ga_sd_003,611
2023,11060870,ga_sd_004,N/A
2023,11060870,ga_sd_005,6456
2023,11060870,ga_sd_006,491
2023,11060880,ga_sd_001,2243
2023,11060880,ga_sd_002,6059
2023,11060880,ga_sd_003,523
2023,11060880,ga_sd_005,4048
2023,11060880,ga_sd_006,281
2023,11060890,ga_sd_001,1076
2023,11060890,ga_sd_002,2308
2023,11060890,ga_sd_003,237
2023,11060890,ga_sd_005,6406
2023,11060890,ga_sd_006,284
2023,11060900,ga_sd_001,1437
2023,11060900,ga_sd_002,3528
2023,11060900,ga_sd_003,312
2023,11060900,ga_sd_004,N/A
2023,11060900,ga_sd_005,2831
2023,11060900,ga_sd_006,123
2023,11060910,ga_sd_001,1899
2023,11060910,ga_sd_002,4920
2023,11060910,ga_sd_003,382
2023,11060910,ga_sd_005,4515
2023,11060910,ga_sd_006,305
2023,11070520,ga_sd_001,1891
2023,11070520,ga_sd_002,4013
2023,11070520,ga_sd_003,324
2023,11070520,ga_sd_004,N/A
2023,11070520,ga_sd_005,4538
2023,11070520,ga_sd_006,262
2023,11070540,ga_sd_001,1432
2023,11070540,ga_sd_002,3187
2023,11070540,ga_sd_003,257
2023,11070540,ga_sd_005,3013
2023,11070540,ga_sd_006,142
2023,11070550,ga_sd_001,1119
2023,11070550,ga_sd_002,2821
2023,11070550,ga_sd_003,195
2023,11070550,ga_sd_005,1760
2023,11070550,ga_sd_006,117
2023,11070570,ga_sd_001,1778
2023,11070570,ga_sd_002,3653
2023,11070570,ga_sd_003,281
2023,11070570,ga_sd_004,N/A
2023,11070570,ga_sd_005,3766
2023,11070570,ga_sd_006,189
2023,11070590,ga_sd_001,1702
2023,11070590,ga_sd_002,4483
2023,11070590,ga_sd_003,323
2023,11070590,ga_sd_004,N/A
2023,11070590,ga_sd_005,2777
2023,11070590,ga_sd_006,163
2023,11070600,ga_sd_001,1615
2023,11070600,ga_sd_002,2597
2023,11070600,ga_sd_003,183
2023,11070600,ga_sd_005,6594
2023,11070600,ga_sd_006,451
2023,11070610,ga_sd_001,1521
2023,11070610,ga_sd_002,3438
2023,11070610,ga_sd_003,254
2023,11070610,ga_sd_005,2758
2023,11070610,ga_sd_006,194
2023,11070620,ga_sd_001,1842
2023,11070620,ga_sd_002,3750
2023,11070620,ga_sd_003,290
2023,11070620,ga_sd_004,N/A
2023,11070620,ga_sd_005,5877
2023,11070620,ga_sd_006,271
2023,11070640,ga_sd_001,2421
2023,11070640,ga_sd_002,6165
2023,11070640,ga_sd_003,520
2023,11070640,ga_sd_004,N/A
2023,11070640,ga_sd_005,4491
2023,11070640,ga_sd_006,289
2023,11070650,ga_sd_001,1502
2023,11070650,ga_sd_002,3079
2023,11070650,ga_sd_003,243
2023,11070650,ga_sd_005,3450
2023,11070650,ga_sd_006,187
2023,11070680,ga_sd_001,1145
