기준연도,격자코드,통계항목,통계값
2023,11010640,cp_bnu_009,339
2023,11010640,cp_bnu_010,109
2023,11010640,cp_bnu_011,15
2023,11010640,cp_bnu_012,124
2023,11010640,cp_bnu_013,182
2023,11010640,cp_bnu_014,42
2023,11010640,cp_bnu_015,N/A
2023,11010640,cp_bnu_016,60
2023,11010640,cp_bnu_017,38
2023,11010640,cp_bnu_018,166
2023,11010640,cp_bnu_019,116
2023,11010670,cp_bnu_003,330
2023,11010670,cp_bnu_005,N/A
2023,11010670,cp_bnu_006,15
2023,11010670,cp_bnu_007,1301
2023,11010670,cp_bnu_008,27
2023,11010670,cp_bnu_009,241
2023,11010670,cp_bnu_010,17
2023,11010670,cp_bnu_011,41
2023,11010670,cp_bnu_012,96
2023,11010670,cp_bnu_013,34
2023,11010670,cp_bnu_014,40
2023,11010670,cp_bnu_015,N/A
2023,11010670,cp_bnu_016,13
2023,11010670,cp_bnu_017,47
2023,11010670,cp_bnu_018,31
2023,11010670,cp_bnu_019,95
2023,11010680,cp_bnu_003,493
2023,11010680,cp_bnu_006,26
2023,11010680,cp_bnu_007,163
2023,11010680,cp_bnu_008,7
2023,11010680,cp_bnu_009,126
2023,11010680,cp_bnu_010,15
2023,11010680,cp_bnu_011,5
2023,11010680,cp_bnu_012,33
2023,11010680,cp_bnu_013,13
2023,11010680,cp_bnu_014,11
2023,11010680,cp_bnu_015,N/A
2023,11010680,cp_bnu_016,6
2023,11010680,cp_bnu_017,25
2023,11010680,cp_bnu_018,17
2023,11010680,cp_bnu_019,69
2023,11010690,cp_bnu_003,56
2023,11010690,cp_bnu_004,N/A
2023,11010690,cp_bnu_005,N/A
2023,11010690,cp_bnu_006,12
2023,11010690,cp_bnu_007,127
2023,11010690,cp_bnu_008,8
2023,11010690,cp_bnu_009,33
2023,11010690,cp_bnu_010,16
2023,11010690,cp_bnu_011,N/A
2023,11010690,cp_bnu_012,25
2023,11010690,cp_bnu_013,16
2023,11010690,cp_bnu_014,8
2023,11010690,cp_bnu_015,N/A
2023,11010690,cp_bnu_016,17
2023,11010690,cp_bnu_017,12
2023,11010690,cp_bnu_018,11
2023,11010690,cp_bnu_019,33
2023,11010700,cp_bnu_003,213
2023,11010700,cp_bnu_006,15
2023,11010700,cp_bnu_007,186
2023,11010700,cp_bnu_008,13
2023,11010700,cp_bnu_009,53
2023,11010700,cp_bnu_010,11
2023,11010700,cp_bnu_011,N/A
2023,11010700,cp_bnu_012,30
2023,11010700,cp_bnu_013,33
2023,11010700,cp_bnu_014,15
2023,11010700,cp_bnu_015,N/A
2023,11010700,cp_bnu_016,24
2023,11010700,cp_bnu_017,24
2023,11010700,cp_bnu_018,9
2023,11010700,cp_bnu_019,60
2023,11010710,cp_bnu_001,N/A
2023,11010710,cp_bnu_003,390
2023,11010710,cp_bnu_006,49
2023,11010710,cp_bnu_007,971
2023,11010710,cp_bnu_008,31
2023,11010710,cp_bnu_009,239
2023,11010710,cp_bnu_010,26
2023,11010710,cp_bnu_011,107
2023,11010710,cp_bnu_012,142
2023,11010710,cp_bnu_013,61
2023,11010710,cp_bnu_014,37
2023,11010710,cp_bnu_015,N/A
2023,11010710,cp_bnu_016,33
2023,11010710,cp_bnu_017,23
2023,11010710,cp_bnu_018,39
2023,11010710,cp_bnu_019,87
2023,11010720,cp_bnu_003,68
2023,11010720,cp_bnu_004,N/A
2023,11010720,cp_bnu_006,43
2023,11010720,cp_bnu_007,383
2023,11010720,cp_bnu_008,13
2023,11010720,cp_bnu_009,329
2023,11010720,cp_bnu_010,76
2023,11010720,cp_bnu_011,9
2023,11010720,cp_bnu_012,84
2023,11010720,cp_bnu_013,157
2023,11010720,cp_bnu_014,30
2023,11010720,cp_bnu_015,6
2023,11010720,cp_bnu_016,80
2023,11010720,cp_bnu_017,29
2023,11010720,cp_bnu_018,41
2023,11010720,cp_bnu_019,111
2023,11010730,cp_bnu_001,N/A
2023,11010730,cp_bnu_003,49
2023,11010730,cp_bnu_006,52
2023,11010730,cp_bnu_007,480
2023,11010730,cp_bnu_008,21
2023,11010730,cp_bnu_009,638
2023,11010730,cp_bnu_010,106
2023,11010730,cp_bnu_011,14
2023,11010730,cp_bnu_012,164
2023,11010730,cp_bnu_013,144
2023,11010730,cp_bnu_014,51
2023,11010730,cp_bnu_015,6
2023,11010730,cp_bnu_016,101
2023,11010730,cp_bnu_017,51
2023,11010730,cp_bnu_018,184
2023,11010730,cp_bnu_019,184
2023,11020520,cp_bnu_003,65
2023,11020520,cp_bnu_004,N/A
2023,11020520,cp_bnu_005,N/A
2023,11020520,cp_bnu_006,29
2023,11020520,cp_bnu_007,1308
2023,11020520,cp_bnu_008,347
2023,11020520,cp_bnu_009,728
2023,11020520,cp_bnu_010,160
2023,11020520,cp_bnu_011,701
2023,11020520,cp_bnu_012,277
2023,11020520,cp_bnu_013,450
2023,11020520,cp_bnu_014,262
2023,11020520,cp_bnu_015,N/A
2023,11020520,cp_bnu_016,61
2023,11020520,cp_bnu_017,70
2023,11020520,cp_bnu_018,38
2023,11020520,cp_bnu_019,197
2023,11020540,cp_bnu_003,242
2023,11020540,cp_bnu_004,N/A
2023,11020540,cp_bnu_006,17
2023,11020540,cp_bnu_007,6385
2023,11020540,cp_bnu_008,130
2023,11020540,cp_bnu_009,611
2023,11020540,cp_bnu_010,81
2023,11020540,cp_bnu_011,208
2023,11020540,cp_bnu_012,259
2023,11020540,cp_bnu_013,128
2023,11020540,cp_bnu_014,90
2023,11020540,cp_bnu_015,8
2023,11020540,cp_bnu_016,28
2023,11020540,cp_bnu_017,75
2023,11020540,cp_bnu_018,32
2023,11020540,cp_bnu_019,194
2023,11020550,cp_bnu_001,N/A
2023,11020550,cp_bnu_003,225
2023,11020550,cp_bnu_004,13
2023,11020550,cp_bnu_005,N/A
2023,11020550,cp_bnu_006,47
2023,11020550,cp_bnu_007,1711
2023,11020550,cp_bnu_008,262
2023,11020550,cp_bnu_009,1290
2023,11020550,cp_bnu_010,438
2023,11020550,cp_bnu_011,1601
2023,11020550,cp_bnu_012,653
2023,11020550,cp_bnu_013,692
2023,11020550,cp_bnu_014,673
2023,11020550,cp_bnu_015,17
2023,11020550,cp_bnu_016,96
2023,11020550,cp_bnu_017,203
2023,11020550,cp_bnu_018,88
2023,11020550,cp_bnu_019,425
2023,11020570,cp_bnu_003,1084
2023,11020570,cp_bnu_004,N/A
2023,11020570,cp_bnu_005,N/A
2023,11020570,cp_bnu_006,35
2023,11020570,cp_bnu_007,513
2023,11020570,cp_bnu_008,40
2023,11020570,cp_bnu_009,488
2023,11020570,cp_bnu_010,196
2023,11020570,cp_bnu_011,55
2023,11020570,cp_bnu_012,187
2023,11020570,cp_bnu_013,548
2023,11020570,cp_bnu_014,85
2023,11020570,cp_bnu_015,6
2023,11020570,cp_bnu_016,69
2023,11020570,cp_bnu_017,40
2023,11020570,cp_bnu_018,51
2023,11020570,cp_bnu_019,105
2023,11020580,cp_bnu_002,N/A
2023,11020580,cp_bnu_003,111
2023,11020580,cp_bnu_005,N/A
2023,11020580,cp_bnu_006,20
2023,11020580,cp_bnu_007,321
2023,11020580,cp_bnu_008,18
2023,11020580,cp_bnu_009,167
2023,11020580,cp_bnu_010,33
2023,11020580,cp_bnu_011,14
2023,11020580,cp_bnu_012,54
2023,11020580,cp_bnu_013,80
2023,11020580,cp_bnu_014,17
2023,11020580,cp_bnu_015,N/A
2023,11020580,cp_bnu_016,21
2023,11020580,cp_bnu_017,9
2023,11020580,cp_bnu_018,22
2023,11020580,cp_bnu_019,57
2023,11020590,cp_bnu_003,2441
2023,11020590,cp_bnu_005,N/A
2023,11020590,cp_bnu_006,51
2023,11020590,cp_bnu_007,3897
2023,11020590,cp_bnu_008,72
2023,11020590,cp_bnu_009,681
2023,11020590,cp_bnu_010,183
2023,11020590,cp_bnu_011,106
2023,11020590,cp_bnu_012,325
2023,11020590,cp_bnu_013,430
2023,11020590,cp_bnu_014,149
2023,11020590,cp_bnu_015,5
2023,11020590,cp_bnu_016,40
2023,11020590,cp_bnu_017,47
2023,11020590,cp_bnu_018,57
2023,11020590,cp_bnu_019,175
2023,11020600,cp_bnu_003,3217
2023,11020600,cp_bnu_004,N/A
2023,11020600,cp_bnu_006,55
2023,11020600,cp_bnu_007,3239
