기준연도,격자코드,통계항목,통계값
2023,11010640,cp_bem_017,8871
2023,11010640,cp_bem_018,1494
2023,11010640,cp_bem_019,518
2023,11010670,cp_bem_003,593
2023,11010670,cp_bem_005,N/A
2023,11010670,cp_bem_006,40
2023,11010670,cp_bem_007,2044
2023,11010670,cp_bem_008,89
2023,11010670,cp_bem_009,610
2023,11010670,cp_bem_010,40
2023,11010670,cp_bem_011,477
2023,11010670,cp_bem_012,225
2023,11010670,cp_bem_013,70
2023,11010670,cp_bem_014,98
2023,11010670,cp_bem_015,20
2023,11010670,cp_bem_016,80
2023,11010670,cp_bem_017,472
2023,11010670,cp_bem_018,94
2023,11010670,cp_bem_019,256
2023,11010680,cp_bem_003,837
2023,11010680,cp_bem_006,30
2023,11010680,cp_bem_007,234
2023,11010680,cp_bem_008,9
2023,11010680,cp_bem_009,277
2023,11010680,cp_bem_010,15
2023,11010680,cp_bem_011,57
2023,11010680,cp_bem_012,38
2023,11010680,cp_bem_013,16
2023,11010680,cp_bem_014,11
2023,11010680,cp_bem_015,37
2023,11010680,cp_bem_016,10
2023,11010680,cp_bem_017,224
2023,11010680,cp_bem_018,25
2023,11010680,cp_bem_019,101
2023,11010690,cp_bem_003,103
2023,11010690,cp_bem_004,8
2023,11010690,cp_bem_005,40
2023,11010690,cp_bem_006,15
2023,11010690,cp_bem_007,165
2023,11010690,cp_bem_008,34
2023,11010690,cp_bem_009,68
2023,11010690,cp_bem_010,23
2023,11010690,cp_bem_011,8
2023,11010690,cp_bem_012,50
2023,11010690,cp_bem_013,31
2023,11010690,cp_bem_014,13
2023,11010690,cp_bem_015,43
2023,11010690,cp_bem_016,123
2023,11010690,cp_bem_017,350
2023,11010690,cp_bem_018,27
2023,11010690,cp_bem_019,51
2023,11010700,cp_bem_003,782
2023,11010700,cp_bem_006,27
2023,11010700,cp_bem_007,341
2023,11010700,cp_bem_008,46
2023,11010700,cp_bem_009,148
2023,11010700,cp_bem_010,18
2023,11010700,cp_bem_011,8
2023,11010700,cp_bem_012,66
2023,11010700,cp_bem_013,62
2023,11010700,cp_bem_014,20
2023,11010700,cp_bem_015,15
2023,11010700,cp_bem_016,51
2023,11010700,cp_bem_017,183
2023,11010700,cp_bem_018,30
2023,11010700,cp_bem_019,95
2023,11010710,cp_bem_001,N/A
2023,11010710,cp_bem_003,868
2023,11010710,cp_bem_006,327
2023,11010710,cp_bem_007,1527
2023,11010710,cp_bem_008,64
2023,11010710,cp_bem_009,525
2023,11010710,cp_bem_010,45
2023,11010710,cp_bem_011,638
2023,11010710,cp_bem_012,325
2023,11010710,cp_bem_013,156
2023,11010710,cp_bem_014,129
2023,11010710,cp_bem_015,76
2023,11010710,cp_bem_016,391
2023,11010710,cp_bem_017,249
2023,11010710,cp_bem_018,162
2023,11010710,cp_bem_019,128
2023,11010720,cp_bem_003,126
2023,11010720,cp_bem_004,N/A
2023,11010720,cp_bem_006,138
2023,11010720,cp_bem_007,719
2023,11010720,cp_bem_008,78
2023,11010720,cp_bem_009,828
2023,11010720,cp_bem_010,231
2023,11010720,cp_bem_011,56
2023,11010720,cp_bem_012,123
2023,11010720,cp_bem_013,572
2023,11010720,cp_bem_014,121
2023,11010720,cp_bem_015,340
2023,11010720,cp_bem_016,667
2023,11010720,cp_bem_017,431
2023,11010720,cp_bem_018,590
2023,11010720,cp_bem_019,307
2023,11010730,cp_bem_001,N/A
2023,11010730,cp_bem_003,61
2023,11010730,cp_bem_006,339
2023,11010730,cp_bem_007,935
2023,11010730,cp_bem_008,59
2023,11010730,cp_bem_009,1734
2023,11010730,cp_bem_010,415
2023,11010730,cp_bem_011,213
2023,11010730,cp_bem_012,257
2023,11010730,cp_bem_013,388
2023,11010730,cp_bem_014,107
2023,11010730,cp_bem_015,203
2023,11010730,cp_bem_016,2732
2023,11010730,cp_bem_017,275
2023,11010730,cp_bem_018,547
2023,11010730,cp_bem_019,430
2023,11020520,cp_bem_003,157
2023,11020520,cp_bem_004,N/A
2023,11020520,cp_bem_005,41
2023,11020520,cp_bem_006,765
2023,11020520,cp_bem_007,8535
2023,11020520,cp_bem_008,5175
2023,11020520,cp_bem_009,6090
2023,11020520,cp_bem_010,4940
2023,11020520,cp_bem_011,18241
2023,11020520,cp_bem_012,1395
2023,11020520,cp_bem_013,10470
2023,11020520,cp_bem_014,7658
2023,11020520,cp_bem_015,562
2023,11020520,cp_bem_016,1316
2023,11020520,cp_bem_017,915
2023,11020520,cp_bem_018,661
2023,11020520,cp_bem_019,1469
2023,11020540,cp_bem_003,716
2023,11020540,cp_bem_004,N/A
2023,11020540,cp_bem_006,1064
2023,11020540,cp_bem_007,17113
2023,11020540,cp_bem_008,2397
2023,11020540,cp_bem_009,2918
2023,11020540,cp_bem_010,4839
2023,11020540,cp_bem_011,8452
2023,11020540,cp_bem_012,1129
2023,11020540,cp_bem_013,6143
2023,11020540,cp_bem_014,1217
2023,11020540,cp_bem_015,755
2023,11020540,cp_bem_016,347
2023,11020540,cp_bem_017,799
2023,11020540,cp_bem_018,120
2023,11020540,cp_bem_019,783
2023,11020550,cp_bem_001,N/A
2023,11020550,cp_bem_003,783
2023,11020550,cp_bem_004,670
2023,11020550,cp_bem_005,N/A
2023,11020550,cp_bem_006,829
2023,11020550,cp_bem_007,11185
2023,11020550,cp_bem_008,5507
2023,11020550,cp_bem_009,7456
2023,11020550,cp_bem_010,12932
2023,11020550,cp_bem_011,33242
2023,11020550,cp_bem_012,3666
2023,11020550,cp_bem_013,19510
2023,11020550,cp_bem_014,28409
2023,11020550,cp_bem_015,9903
2023,11020550,cp_bem_016,1117
2023,11020550,cp_bem_017,2592
2023,11020550,cp_bem_018,370
2023,11020550,cp_bem_019,2249
2023,11020570,cp_bem_003,3902
2023,11020570,cp_bem_004,N/A
2023,11020570,cp_bem_005,44
2023,11020570,cp_bem_006,471
2023,11020570,cp_bem_007,1873
2023,11020570,cp_bem_008,244
2023,11020570,cp_bem_009,1613
2023,11020570,cp_bem_010,2810
2023,11020570,cp_bem_011,1017
2023,11020570,cp_bem_012,382
2023,11020570,cp_bem_013,2683
2023,11020570,cp_bem_014,5051
2023,11020570,cp_bem_015,589
2023,11020570,cp_bem_016,4233
2023,11020570,cp_bem_017,706
2023,11020570,cp_bem_018,373
2023,11020570,cp_bem_019,517
2023,11020580,cp_bem_002,7
2023,11020580,cp_bem_003,379
2023,11020580,cp_bem_005,168
2023,11020580,cp_bem_006,140
2023,11020580,cp_bem_007,1491
