iter	Passed	Remaining
399	44518	178072
400	44621	177928
401	44706	177713
402	44836	177675
403	44953	177589
404	45070	177500
405	45184	177399
406	45302	177314
407	45423	177241
408	45547	177177
409	45587	176789
410	45690	176647
411	45810	176570
412	45933	176504
413	46056	176437
414	46170	176338
415	46280	176223
416	46399	176138
417	46523	176078
418	46642	175994
419	46769	175942
420	46889	175863
421	46941	175530
422	47060	175447
423	47174	175347
424	47290	175252
425	47417	175199
426	47539	175127
427	47643	174989
428	47756	174883
429	47878	174812
430	47992	174711
431	48106	174608
432	48227	174532
433	48350	174463
434	48471	174384
435	48596	174324
436	48705	174204
437	48831	174145
438	48951	174061
439	49066	173964
440	49111	173616
441	49141	173216
442	49262	173142
443	49378	173047
444	49497	172964
445	49613	172869
446	49733	172787
447	49859	172728
448	49976	172636
449	50087	172524
450	50121	172146
451	50239	172058
452	50354	171960
453	50465	171847
454	50596	171804
455	50713	171712
456	50831	171625
457	50947	171529
458	51067	171449
459	51117	171133
460	51148	170753
461	51273	170688
462	51303	170310
463	51427	170242
464	51551	170176
465	51685	170141
466	51800	170044
467	51918	169956
468	52035	169864
469	52154	169781
470	52271	169687
471	52315	169359
472	52344	168986
473	52457	168882
474	52583	168821
475	52706	168749
476	52744	168407
477	52867	168334
478	52986	168252
479	53103	168162
480	53150	167848
481	53267	167760
482	53387	167678
483	53502	167583
484	53620	167495
485	53736	167399
486	53842	167275
487	53961	167192
488	54081	167112
489	54112	166755
490	54234	166680
491	54343	166564
492	54465	166490
493	54580	166394
494	54705	166328
495	54826	166247
496	54944	166158
497	55057	166057
498	55179	165980
499	55296	165889
500	55418	165811
501	55539	165732
502	55657	165645
503	55782	165576
504	55914	165530
505	56030	165434
506	56146	165339
507	56263	165246
508	56381	165155
509	56501	165071
510	56626	165002
511	56748	164924
512	56874	164858
513	56997	164781
514	57121	164709
515	57242	164627
516	57361	164540
517	57475	164436
518	57594	164349
519	57717	164273
520	57840	164197
521	57972	164143
522	58093	164061
523	58210	163967
524	58332	163887
525	58454	163806
526	58569	163704
527	58696	163638
528	58815	163549
529	58937	163468
530	59057	163381
531	59178	163296
532	59298	163208
533	59414	163110
534	59538	163036
535	59670	162979
536	59796	162909
537	59919	162829
538	60052	162777
539	60175	162696
540	60297	162614
541	60423	162540
542	60537	162437
543	60665	162369
544	60788	162287
545	60903	162186
546	61020	162089
547	61143	162008
548	61173	161681
549	61288	161577
550	61409	161491
551	61530	161406
552	61649	161315
553	61782	161257
554	61902	161169
555	62031	161103
556	62151	161013
557	62268	160917
558	62393	160839
559	62517	160759
560	62637	160670
561	62754	160570
562	62882	160500
563	63011	160434
564	63118	160309
565	63240	160225
566	63357	160126
567	63477	160035
568	63597	159943
569	63713	159843
570	63836	159758
571	63964	159688
572	64088	159605
573	64208	159515
574	64334	159436
575	64455	159347
576	64582	159273
577	64711	159204
578	64833	159115
579	64943	159000
580	65064	158910
581	65191	158834
582	65314	158748
583	65430	158646
584	65557	158570
585	65680	158484
586	65803	158398
587	65929	158319
588	66054	158238
589	66181	158161
590	66302	158070
591	66427	157988
592	66545	157890
593	66664	157795
594	66794	157723
595	66924	157655
596	67038	157547
597	67161	157458
598	67278	157357
599	67400	157268
600	67523	157179
601	67647	157096
602	67772	157011
603	67895	156923
604	68016	156831
605	68146	156758
606	68263	156658
607	68327	156434
608	68445	156334
609	68565	156239
610	68686	156145
611	68808	156055
612	68931	155967
613	69057	155884
614	69181	155798
615	69213	155504
616	69338	155421
617	69370	155130
618	69491	155037
619	69549	154803
620	69675	154722
621	69800	154638
622	69919	154542
623	70040	154448
624	70165	154364
625	70287	154272
626	70402	154166
627	70520	154067
628	70642	153976
629	70767	153891
630	70887	153794
631	71009	153703
632	71128	153606
633	71243	153498
634	71364	153405
635	71481	153302
636	71602	153208
637	71722	153113
638	71838	153007
639	71957	152909
640	72068	152794
641	72182	152686
642	72301	152586
643	72425	152497
644	72554	152420
645	72672	152320
646	72794	152227
647	72915	152131
648	73028	152020
649	73155	151939
650	73275	151841
651	73395	151744
652	73523	151662
653	73642	151563
654	73764	151470
655	73883	151370
656	74001	151269
657	74117	151162
658	74236	151064
659	74361	150976
660	74481	150877
661	74603	150783
662	74722	150684
663	74847	150597
664	74965	150495
665	75084	150393
666	75216	150320
667	75340	150229
668	75467	150145
669	75584	150041
670	75699	149932
671	75811	149818
672	75932	149721
673	76055	149627
674	76175	149528
675	76295	149430
676	76416	149334
677	76534	149230
678	76653	149129
679	76769	149023
680	76895	148934
681	77015	148837
682	77132	148731
683	77254	148635
684	77373	148535
685	77497	148443
686	77623	148355
687	77746	148261
688	77863	148155
689	77988	148065
690	78105	147959
691	78224	147857
692	78340	147750
693	78463	147656
694	78582	147555
695	78703	147456
696	78823	147355
697	78947	147263
698	79066	147161
699	79185	147058
