iter	Logloss
0	0.6930138925
1	0.692919788
2	0.6927793556
3	0.6926921065
4	0.6926061771
5	0.692483324
6	0.6923541917
7	0.6922325875
8	0.6921065992
9	0.692004065
10	0.6918887112
11	0.6917709639
12	0.6917018228
13	0.6916273706
14	0.6915823118
15	0.691483058
16	0.6913780357
17	0.6912825662
18	0.6912297663
19	0.6911587507
20	0.6910721553
21	0.6909779297
22	0.6909362485
23	0.6908694636
24	0.6907644565
25	0.690699652
26	0.6905998276
27	0.6905389461
28	0.6904706575
29	0.6904106697
30	0.6903750077
31	0.6903099795
32	0.6902443161
33	0.69022492
34	0.6901266288
35	0.6900441528
36	0.6899591826
37	0.6898917104
38	0.6898575535
39	0.6897954026
40	0.6897437028
41	0.6897257695
42	0.6897056072
43	0.6896302202
44	0.6895880338
45	0.6895361292
46	0.6894834352
47	0.689439383
48	0.6893940501
49	0.6893371385
50	0.6892663791
51	0.6891963722
52	0.6891422207
53	0.6891048819
54	0.6890586737
55	0.6889944805
56	0.6889312579
57	0.688907507
58	0.6888514733
59	0.6887886744
60	0.688710448
61	0.6886562338
62	0.6886230897
63	0.6886148083
64	0.6885859743
65	0.6885339465
66	0.6884994317
67	0.6884585418
68	0.688401115
69	0.6883643954
70	0.6882962768
71	0.6882204933
72	0.688160858
73	0.6881126203
74	0.6880638446
75	0.688032662
76	0.6879976797
77	0.6879661066
78	0.6879183882
79	0.6878455608
80	0.6878155987
81	0.6877869022
82	0.6877302964
83	0.6876987298
84	0.6876634839
85	0.6876415677
86	0.6876050476
87	0.6875853083
88	0.6875545534
89	0.6875322434
90	0.6875141361
91	0.6874864482
92	0.6874350114
93	0.6874325583
94	0.6874036897
95	0.6873774405
96	0.687322424
97	0.6872877604
98	0.6872840287
99	0.6872658849
100	0.6872575871
101	0.6872248956
102	0.6871844355
103	0.6871532728
104	0.6871064196
105	0.6870987124
106	0.6870217947
107	0.6870053202
108	0.6869453014
109	0.6868866363
110	0.6868574065
111	0.6868144897
112	0.6867742409
113	0.6867245736
114	0.6867105751
115	0.6866722711
116	0.6866476168
117	0.6866133355
118	0.6865676775
119	0.6865514858
120	0.6865166203
121	0.6865131309
122	0.6864931679
123	0.6864656617
124	0.6864331777
125	0.6864183346
126	0.6863783235
127	0.686347079
128	0.6863055242
129	0.686276845
130	0.6862564427
131	0.6862325131
132	0.6862282197
133	0.6861947921
134	0.6861471579
135	0.6861081439
136	0.6860739083
137	0.6860426664
138	0.6859854291
139	0.6859366118
140	0.6859034132
141	0.6858792405
142	0.6858561797
143	0.6857854202
144	0.6857529664
145	0.685733747
146	0.6857156796
147	0.6856875171
148	0.6856338625
149	0.6856017634
150	0.68556457
151	0.6855356183
152	0.685517608
153	0.6854950633
154	0.6854434955
155	0.685419785
156	0.6854174205
157	0.6853854014
158	0.6853415686
159	0.6852874193
160	0.6852660356
161	0.68521127
162	0.6851642598
163	0.6851217043
164	0.6850558278
165	0.6850339805
166	0.6850203735
167	0.6849775673
168	0.684938898
169	0.6849373851
170	0.684918559
171	0.6849008952
172	0.6848852468
173	0.6848654719
174	0.6848489141
175	0.6848461311
176	0.6848113614
177	0.6847874969
178	0.6847485258
179	0.6847214325
180	0.6846851554
181	0.6846553781
182	0.6846127125
183	0.6845937661
184	0.6845795358
185	0.6845443267
186	0.6845092867
187	0.6844753873
188	0.6844445491
189	0.6844163852
190	0.6843862729
191	0.6843743275
192	0.6843509342
193	0.684305293
194	0.6842670045
195	0.6842481569
196	0.6842323181
197	0.6842038452
198	0.6841583148
199	0.6841332753
200	0.6841228301
201	0.6840706112
202	0.6840356232
203	0.6840002513
204	0.6839869783
205	0.6839426586
206	0.6839097353
207	0.6838608703
208	0.6838479387
209	0.6838458688
210	0.6838398243
211	0.6838192186
212	0.6837847762
